,City,Cloudiness,Date,Country,Humidity,Lat,Lon,Max Temp,Wind MPH
385,lima,90,1594920303,PE,72,-12.04,-77.03,290.15,4.6
386,nantucket,1,1594920659,US,60,41.28,-70.1,294.15,5.1
387,tevaitoa,87,1594920859,PF,85,-16.78,-151.5,298.1,7.21
388,yerofey pavlovich,25,1594920859,RU,73,53.97,121.97,291.61,1.36
389,hovd,40,1594920726,MN,46,48.01,91.64,289.82,0.96
390,phitsanulok,100,1594920859,TH,96,16.92,100.5,296.51,1.08
391,kiama,79,1594920859,AU,79,-34.68,150.87,285.37,5.36
392,hobyo,98,1594920703,SO,71,5.35,48.53,299.48,12.74
393,srednekolymsk,89,1594920734,RU,57,67.45,153.68,282.07,1.71
394,namie,100,1594920859,JP,98,37.48,141.0,292.04,1.82
395,nicolas bravo,40,1594920067,MX,63,18.45,-88.92,306.15,2.6
396,divnomorskoye,77,1594920859,RU,64,44.5,38.14,296.94,3.25
397,novikovo,1,1594920859,RU,80,51.15,37.89,288.41,0.75
398,kahului,40,1594920364,US,65,20.89,-156.47,299.15,3.6
399,charagua,34,1594920860,BO,40,-19.8,-63.22,301.64,4.53
400,ingham,90,1594920860,US,100,42.6,-84.38,294.26,5.7
401,dikson,37,1594920341,RU,91,73.51,80.55,278.47,1.68
402,san jose,75,1594920589,US,63,37.34,-121.89,295.93,1.18
403,bose,11,1594920860,IT,49,45.46,8.01,302.04,0.52
404,pinar del rio,7,1594920860,CU,56,22.42,-83.7,305.51,3.05
405,iskateley,54,1594920712,RU,82,67.68,53.15,282.5,4.32
406,borovoy,61,1594920860,RU,72,55.43,86.08,293.15,4.0
407,taonan,8,1594920860,CN,61,45.33,122.78,298.79,5.11
408,dhidhdhoo,100,1594920860,MV,79,6.88,73.1,301.84,5.77
409,shepsi,49,1594920860,RU,70,44.04,39.15,298.15,3.0
410,coquimbo,0,1594920339,CL,67,-29.95,-71.34,288.15,5.7
411,dingle,98,1594920339,PH,88,11.0,122.67,298.64,1.1
412,puquio,3,1594920861,PE,24,-14.7,-74.13,293.02,0.13
413,iqaluit,75,1594920251,CA,61,63.75,-68.51,283.15,4.1
414,port-gentil,40,1594920825,GA,83,-0.72,8.78,298.15,6.4
415,arkhangelsk,90,1594920861,RU,93,64.54,40.54,285.15,2.0
416,marsa matruh,0,1594920861,EG,65,31.35,27.25,300.15,4.6
417,lhokseumawe,95,1594920861,ID,86,5.18,97.15,298.92,2.17
418,ulladulla,90,1594920861,AU,66,-35.35,150.47,285.37,7.7
419,viedma,40,1594920861,AR,55,-40.81,-63.0,288.71,2.44
420,ketchikan,90,1594920195,US,93,55.34,-131.65,287.15,1.5
421,dhuburi,100,1594920861,IN,82,26.03,89.97,301.29,4.0
422,agua dulce,75,1594920861,MX,70,18.13,-94.13,303.15,5.1
423,saint george,1,1594920227,US,16,37.1,-113.58,309.26,3.6
424,zhigansk,100,1594920365,RU,87,66.77,123.37,290.09,5.19
425,olafsvik,100,1594920729,IS,82,64.89,-23.71,282.23,9.34
426,cordoba,4,1594920646,AR,32,-31.41,-64.18,291.48,2.1
427,north bend,75,1594920358,US,82,43.41,-124.22,291.48,5.7
428,waynesville,13,1594920862,US,83,35.49,-82.99,300.37,2.43
429,dudinka,40,1594920862,RU,81,69.41,86.18,283.15,6.0
430,moron,68,1594920363,AR,66,-34.65,-58.62,287.59,2.6
431,knysna,12,1594920643,ZA,81,-34.04,23.05,284.15,2.6
432,atotonilco el grande,48,1594920862,MX,47,20.28,-98.67,295.86,4.19
433,vestmannaeyjar,90,1594920719,IS,93,63.44,-20.27,283.15,11.3
434,lethem,79,1594920715,GY,57,3.38,-59.8,304.68,1.66
435,beyneu,100,1594920339,KZ,17,45.32,55.2,306.55,5.0
436,posse,0,1594920862,BR,24,-14.09,-46.37,301.01,4.0
437,nampa,1,1594920721,US,26,43.54,-116.56,300.93,2.6
438,nouadhibou,31,1594920727,MR,73,20.93,-17.03,297.15,5.7
439,kloulklubed,75,1594920244,PW,88,7.04,134.26,298.15,3.71
440,cedar city,1,1594920461,US,23,37.68,-113.06,301.15,1.5
441,yerbogachen,4,1594920346,RU,90,61.28,108.01,283.6,2.75
442,morgan city,20,1594920863,US,70,29.7,-91.21,305.15,3.1
443,ust-nera,49,1594920343,RU,72,64.57,143.2,281.48,1.85
444,mount gambier,5,1594920374,AU,100,-37.83,140.77,275.15,3.1
445,pangai,20,1594920728,TO,88,-19.8,-174.35,297.15,7.2
446,ler,84,1594920863,SS,82,8.3,30.14,297.46,1.48
447,klyuchi,71,1594920733,RU,73,52.27,79.17,293.45,4.68
448,namibe,0,1594920717,AO,45,-15.2,12.15,294.66,2.18
449,chumikan,100,1594920370,RU,96,54.72,135.31,284.95,3.34
450,aban,100,1594920863,RU,95,56.67,96.06,286.51,5.63
451,lazaro cardenas,76,1594920601,MX,66,17.96,-102.2,304.24,1.8
452,raudeberg,75,1594920346,NO,77,61.99,5.14,292.15,8.7
453,aksu,47,1594920716,CN,27,41.12,80.26,300.37,1.8
454,kearney,75,1594920812,US,69,40.7,-99.08,300.15,3.1
455,araguaina,0,1594920864,BR,29,-7.19,-48.21,308.26,3.13
456,san vicente,48,1594920724,AR,80,-26.62,-54.13,294.92,2.55
457,skibbereen,40,1594920340,IE,53,51.55,-9.27,295.15,5.7
458,cockburn town,40,1594920352,TC,62,21.46,-71.14,304.15,6.2
459,tambura,74,1594920864,SS,92,5.6,27.47,294.29,0.67
460,laguna,1,1594920725,US,56,38.42,-121.42,297.04,2.64
461,salawagan,100,1594920864,PH,87,7.71,125.11,295.58,0.12
462,umtata,0,1594920743,ZA,37,-31.59,28.78,284.15,1.5
463,san carlos,86,1594920864,VE,88,9.66,-68.58,300.07,2.0
464,talara,90,1594920864,PE,77,-4.58,-81.27,294.15,5.1
465,port keats,0,1594920702,AU,37,-14.25,129.55,291.43,2.87
466,zhuhai,40,1594920369,CN,89,22.28,113.57,303.71,3.6
467,kulu,29,1594920864,TR,25,39.1,33.08,301.75,4.53
468,sovetskiy,81,1594920865,RU,81,61.36,63.58,294.22,2.44
469,fergus falls,1,1594920865,US,61,46.28,-96.08,299.82,6.7
470,guanambi,1,1594920865,BR,28,-14.22,-42.78,302.09,6.19
471,lincoln,75,1594920361,US,69,40.8,-96.67,302.04,5.1
472,derzhavinsk,0,1594920709,KZ,47,51.1,66.32,295.42,4.82
473,ibra,38,1594920865,OM,47,22.69,58.53,304.15,2.95
474,mulki,90,1594920865,IN,100,13.1,74.8,296.15,2.6
475,mathathane,0,1594920865,BW,58,-22.27,28.75,283.64,3.67
476,tres arroyos,46,1594920865,AR,48,-38.37,-60.28,287.28,5.02
477,kathmandu,75,1594920193,NP,100,27.72,85.32,295.15,1.5
478,florence,20,1594920865,IT,48,43.77,11.25,301.15,3.1
479,bocas del toro,27,1594920865,PA,40,9.33,-82.25,297.04,3.58
480,fort nelson,90,1594920624,CA,77,58.81,-122.7,289.15,1.0
481,wajima,56,1594920360,JP,84,37.4,136.9,293.84,2.68
482,rawson,100,1594920083,AR,76,-43.3,-65.1,280.17,5.06
483,nhulunbuy,1,1594920866,AU,83,-12.23,136.77,295.15,3.1
484,hambantota,75,1594920353,LK,74,6.12,81.12,301.15,3.6
485,grindavik,75,1594920359,IS,76,63.84,-22.43,286.15,6.7
486,san jeronimito,75,1594920866,MX,62,17.55,-101.33,304.15,2.6
487,zabrze,81,1594920866,PL,73,50.32,18.79,290.37,0.45
488,weligama,100,1594920866,LK,88,5.97,80.42,299.02,2.44
489,moscow,90,1594920164,RU,100,55.75,37.62,289.82,3.0
490,piranhas,8,1594920866,BR,16,-16.43,-51.82,305.93,2.76
491,show low,40,1594920866,US,30,34.25,-110.03,300.15,6.2
492,surt,0,1594920866,LY,51,31.21,16.59,301.9,8.6
493,bonthe,84,1594920360,SL,72,7.53,-12.51,298.78,4.0
494,anloga,20,1594920350,GH,83,5.79,0.9,298.15,5.7
495,san carlos de bariloche,75,1594920673,AR,93,-41.15,-71.31,275.15,1.32
496,quatre cocos,75,1594920735,MU,73,-20.21,57.76,295.15,3.6
497,balkhash,0,1594920867,KZ,30,46.84,74.98,300.24,10.68
498,perth,90,1594920539,AU,93,-31.93,115.83,286.48,2.6
499,luklukan,41,1594920867,PH,87,14.33,122.71,299.52,2.68
500,san policarpo,0,1594920332,PH,78,12.18,125.51,301.58,2.44
501,port-cartier,75,1594920867,CA,56,50.03,-66.87,293.71,5.7
502,nizhneudinsk,86,1594920867,RU,71,54.91,99.03,284.0,1.73
503,rio gallegos,90,1594920867,AR,92,-51.62,-69.22,270.15,4.1
504,monkey bay,39,1594920867,MW,56,-14.07,34.92,292.5,9.85
505,danville,75,1594920867,US,70,36.59,-79.39,304.82,1.5
506,salym,65,1594920182,RU,95,60.06,71.48,293.22,2.73
507,sampit,40,1594920867,ID,98,-2.53,112.95,296.2,1.01
508,sal rei,40,1594920867,CV,51,16.18,-22.92,301.15,4.1
509,verkhniy landekh,17,1594920867,RU,91,56.84,42.6,287.45,3.02
510,boende,99,1594920868,CD,88,-0.22,20.87,297.02,0.85
511,dalvik,75,1594920334,IS,87,65.97,-18.53,285.15,5.1
512,saldanha,0,1594920325,ZA,58,-33.01,17.94,288.69,4.3
513,northam,31,1594920868,GB,84,51.03,-4.22,291.48,4.47
514,mocuba,32,1594920706,MZ,91,-16.84,36.99,288.53,2.89
515,katsuura,75,1594920366,JP,88,35.13,140.3,293.15,4.6
516,bilibino,100,1594920360,RU,91,68.05,166.44,280.59,1.17
517,kristiinankaupunki,3,1594920868,FI,71,62.27,21.38,290.0,2.28
518,hudson bay,8,1594920868,CA,55,52.85,-102.38,293.18,5.38
519,gloversville,90,1594920868,US,94,43.05,-74.34,297.04,7.7
520,morwell,8,1594920868,AU,97,-38.23,146.4,278.71,0.57
521,northampton,64,1594920868,US,71,40.88,-75.25,299.82,5.04
522,byron bay,15,1594920356,AU,71,-28.65,153.62,283.71,4.1
523,naze,75,1594920868,JP,94,28.37,129.48,300.15,5.7
524,chiang klang,100,1594920868,TH,88,19.29,100.86,296.95,0.6
525,ponta delgada,75,1594920059,PT,64,37.73,-25.67,296.15,6.7
526,ellisras,0,1594920869,ZA,42,-23.66,27.74,283.04,1.67
527,mattru,87,1594920869,SL,79,7.62,-11.83,297.46,2.16
528,mantua,36,1594920360,IT,50,45.17,10.78,301.48,0.45
529,tacoronte,68,1594920869,ES,69,28.48,-16.41,302.59,5.1
530,galeana,17,1594920650,MX,38,24.83,-100.07,300.23,1.75
531,geraldton,90,1594920366,AU,93,-28.77,114.6,289.15,6.2
532,rampur,3,1594920869,IN,51,28.82,79.03,306.19,4.89
533,verin,26,1594920869,ES,10,41.94,-7.44,304.82,1.14
534,evensk,99,1594920869,RU,94,61.95,159.23,283.64,1.04
535,santo antonio de jesus,17,1594920672,BR,59,-12.97,-39.26,298.46,5.03
536,colac,0,1594920869,AU,99,-38.33,143.58,278.15,0.75
537,trincomalee,100,1594920869,LK,73,8.57,81.23,301.09,6.86
538,marsh harbour,21,1594920366,BS,73,26.54,-77.06,301.7,5.06
539,shimoda,75,1594920356,JP,94,34.67,138.95,295.15,3.6
540,salur,70,1594920870,IN,82,18.53,83.22,299.74,1.13
541,amos,75,1594920843,CA,88,48.57,-78.12,295.15,3.1
542,pueblo nuevo,64,1594920870,MX,51,23.38,-105.38,299.37,1.67
543,adrar,34,1594920704,MR,18,20.5,-10.07,310.63,7.97
544,gwadar,12,1594920870,PK,80,25.12,62.33,302.71,1.97
545,arrecife,1,1594920870,ES,69,28.96,-13.55,299.15,3.1
546,madang,28,1594920870,PG,87,-5.22,145.8,298.09,0.35
547,touba,100,1594920870,CI,84,8.28,-7.68,295.49,2.35
548,marathon,1,1594920870,US,60,44.9,-89.77,297.04,2.6
549,waingapu,49,1594920376,ID,85,-9.66,120.26,295.46,2.67
550,paysandu,92,1594920808,UY,70,-32.32,-58.08,284.82,2.24
551,staraya kulatka,79,1594920870,RU,69,52.72,47.62,290.9,3.54
552,huilong,49,1594920702,CN,91,31.81,121.66,295.37,4.02
553,bealanana,10,1594920871,MG,89,-14.55,48.73,285.45,1.94
554,fecamp,90,1594920871,FR,77,49.76,0.37,292.59,4.1
555,telenesti,97,1594920871,MD,49,47.5,28.37,296.48,1.5
556,camopi,22,1594920871,GF,62,3.17,-52.32,303.58,2.2
557,prince george,90,1594920077,CA,93,53.92,-122.75,289.82,6.7
558,liverpool,75,1594920302,GB,77,53.41,-2.98,293.15,5.1
559,jingdezhen,64,1594920871,CN,93,29.29,117.21,298.45,0.95
560,tawang,99,1594920746,IN,80,27.58,91.87,288.08,0.61
561,elat,0,1594920871,IL,28,29.56,34.95,309.15,4.1
562,bijie,100,1594920871,CN,93,27.31,105.29,292.69,1.35
563,goderich,96,1594920359,CA,93,43.75,-81.72,295.93,0.45
564,lasa,40,1594920721,IT,72,46.62,10.7,291.48,3.6
565,la ronge,75,1594920355,CA,67,55.1,-105.28,290.15,7.2
566,mountain home,1,1594920872,US,19,43.13,-115.69,299.15,2.66
567,khandyga,54,1594920336,RU,59,62.67,135.6,287.34,0.8
568,sucua,40,1594920872,EC,61,-2.47,-78.17,298.15,1.0
569,ust-maya,47,1594920872,RU,78,60.42,134.53,287.92,0.21
570,talcahuano,90,1594920786,CL,87,-36.72,-73.12,285.15,6.7
571,ilula,20,1594920872,TZ,48,-7.68,36.04,289.15,10.3
572,akyab,95,1594920872,MM,82,20.15,92.9,301.55,2.16
573,torbay,90,1594920322,CA,100,47.67,-52.73,283.15,9.3
574,praya,75,1594920872,CV,61,14.92,-23.51,301.15,8.2
575,ayan,99,1594920872,RU,97,56.45,138.17,285.35,3.38
576,madaoua,42,1594920873,NE,37,14.07,5.96,307.39,4.61
577,qarayeri,40,1594920873,AZ,40,40.79,46.31,304.15,8.2
578,kumluca,0,1594920733,TR,41,36.37,30.29,300.3,0.98
579,coihaique,90,1594920344,CL,85,-45.58,-72.07,273.15,1.5
580,mogadishu,100,1594920340,SO,78,2.04,45.34,298.57,9.9
581,monduli,40,1594920873,TZ,77,-3.3,36.45,290.15,2.1
582,haicheng,0,1594920610,CN,90,40.85,122.75,293.3,3.15
583,antalaha,7,1594920873,MG,82,-14.9,50.28,293.8,3.74
584,guapi,86,1594920873,CO,85,2.57,-77.89,300.43,3.02
585,dohrighat,32,1594920873,IN,68,26.26,83.52,304.59,4.0
586,potsdam,27,1594920874,DE,62,52.4,13.07,294.26,3.09
587,sinnamary,92,1594920099,GF,70,5.38,-52.95,302.53,4.77
588,tambun,40,1594920874,ID,78,-6.26,107.07,300.93,2.6
